gene_name,gene_id,logfc,p
ATP6V0A4,ENSG00000105929.16,7.15869477402045,1.12436335903063e-14
CLLU1,ENSG00000257127.6,7.14347774483406,1.23340223690253e-16
ZAN,ENSG00000146839.19,7.11336090417896,5.9292017999221e-17
ZNF863P,ENSG00000236538.1,7.11312381562413,4.4328646304886895e-12
IGDCC3,ENSG00000174498.14,7.0984159799695,4.76866551740028e-17
PDE11A,ENSG00000128655.19,7.08959878133895,1.9884528985244202e-17
EIF3EP2,ENSG00000224674.1,7.08679698384395,2.34717425545489e-17
SOX9,ENSG00000125398.8,7.07776344350791,1.62428923337472e-16
OR10K1,ENSG00000173285.5,7.05903204466078,1.02841862970197e-17
NCMAP,ENSG00000184454.7,7.04843222230067,4.88720734462275e-16
HOXB-AS1,ENSG00000230148.8,7.04175001172202,1.0951057551879801e-14
LINC01630,ENSG00000227115.9,7.02725599767112,2.08853765367618e-16
FGF12,ENSG00000114279.15,7.02004885995081,1.45620329928782e-13
DNAH5,ENSG00000039139.11,7.01851886192774,1.86900543519215e-13
IL36B,ENSG00000136696.11,7.01478733799825,1.00263605388815e-59
SEC14L3,ENSG00000100012.12,7.0077507763128,2.11274458607596e-16
LINC01251,ENSG00000233776.5,7.0053703142666,2.6623099730427e-16
DPY19L4P2,ENSG00000231839.1,7.00389820160952,1.1678202815148402e-15
LIMCH1,ENSG00000064042.18,7.00031763743525,1.0568902241051401e-17
RGS7,ENSG00000182901.18,6.99386013915218,4.22249097262298e-22
PLD5,ENSG00000180287.17,6.97800130303466,7.67392388274706e-15
LINC01111,ENSG00000254300.1,6.97789632394011,4.05795191265236e-15
BNC2,ENSG00000173068.18,6.97135175656823,8.00806853507084e-17
LINC01206,ENSG00000242512.9,6.96729733430282,6.41836867967935e-16
RN7SL580P,ENSG00000240641.3,6.96538261526444,1.63370131567935e-14
RPS6P20,ENSG00000226356.2,6.93377250278594,1.45610889227351e-13
GALNTL5,ENSG00000106648.14,6.93141428973717,6.876315252927211e-15
ASXL3,ENSG00000141431.13,6.93031559687403,4.62789135841389e-15
ALDH1L1,ENSG00000144908.14,6.92930660209174,6.232286135214629e-12
PCDHA4,ENSG00000204967.12,6.92104627449958,1.86842900887146e-15
CCDC33,ENSG00000140481.15,6.89754073162335,2.5784838808558002e-15
