gene_name,gene_id,logfc,p
FGL2,ENSG00000127951.8,5.37919508943277,2.12119675072304e-08
HMMR,ENSG00000072571.20,5.32712047970788,2.3861406212070505e-17
ITGB8,ENSG00000105855.10,5.30877852126237,1.79930781288351e-05
HEATR9,ENSG00000270379.6,5.30783341831698,4.55870582608172e-05
CMPK2,ENSG00000134326.12,5.29999209939507,0.0002220476970366
ANO7L1,ENSG00000237276.9,5.29550425358089,0.0024257977292243
IFNB1,ENSG00000171855.7,5.26007994983341,0.0096299132596813
GBP1P1,ENSG00000225492.6,5.25969014943626,0.0002868307603041
HJURP,ENSG00000123485.12,5.24215440216945,1.4170535640184101e-21
SERPINB9,ENSG00000170542.6,5.23554220166072,0.0005076136538387
AQP9,ENSG00000103569.10,5.23167347870343,7.19700546165728e-05
ALOX5,ENSG00000012779.12,5.22243279240603,2.8468676265181598e-55
MYBL2,ENSG00000101057.16,5.19585184603755,4.5884989371814403e-35
FOXM1,ENSG00000111206.13,5.18399210662489,2.74979478547697e-15
BUB1B,ENSG00000156970.13,5.17575465147916,2.54432343939633e-25
MUC1,ENSG00000185499.17,5.17264045342742,4.72471834682757e-07
CCDC194,ENSG00000269720.2,5.15772595153996,0.0004091047945285
ISG15,ENSG00000187608.10,5.13982606772071,0.0002727251176148
CKAP2L,ENSG00000169607.13,5.13488108608308,2.56082853456923e-31
IL6,ENSG00000136244.12,5.12675607495103,0.0058872571752204
SHCBP1,ENSG00000171241.9,5.11139862056604,2.53626768973168e-31
TMPO-AS1,ENSG00000257167.3,5.10277975995327,2.31625830155595e-09
TMPRSS13,ENSG00000137747.16,5.10031885023026,0.0001983543189664
TLDC2,ENSG00000101342.10,5.09678141799286,0.0001253716305072
SAMD9,ENSG00000205413.8,5.09576881357192,9.19441592128728e-07
ANKRD22,ENSG00000152766.6,5.07167502844053,9.85411175082214e-06
NEXN,ENSG00000162614.19,5.06716410427651,8.81631697117336e-05
MELK,ENSG00000165304.8,5.06390253850678,1.70548736284118e-35
CDC25A,ENSG00000164045.12,5.05683284398831,4.5997795911110197e-36
KIF20A,ENSG00000112984.12,5.04427498635571,1.15661212846475e-13
CALHM5,ENSG00000178033.6,5.03358781890261,0.0104966357963046
CDCA5,ENSG00000146670.10,5.0221804775596,6.7747862057665e-31
CX3CR1,ENSG00000168329.14,4.97466174459892,0.0001411263840272
IL18RAP,ENSG00000115607.10,4.96548452483171,0.0025036268188618
