gene_name,gene_id,logfc,p
LINC02470,ENSG00000225231.2,3.26836479769196,0.0009381614882769
PTPN22,ENSG00000134242.16,3.22965206512531,1.21067803914823e-38
OPRL1,ENSG00000125510.18,3.22152048995286,0.0049597249839717
NAT2,ENSG00000156006.5,3.19263211967605,0.0271903387092547
PTPRN2-AS1,ENSG00000233038.6,3.18392339634593,1.15755483294557e-13
PHACTR3,ENSG00000087495.17,3.13616020318376,4.13835500453094e-39
ADORA3,ENSG00000282608.2,3.11745797090358,1.0108712267698801e-37
ZNF815P,ENSG00000235944.9,3.07021358266733,5.04842638567537e-07
RNF125,ENSG00000101695.9,3.06479084111262,3.07428424572752e-47
TRAC,ENSG00000277734.8,3.05209939550836,4.0923191908378397e-103
NOS2,ENSG00000007171.18,3.03591411494012,4.69897254880236e-05
TMEM37,ENSG00000171227.7,3.03466862184179,2.00852839097545e-07
PRAM1,ENSG00000133246.12,3.01730444573501,1.03806844002051e-87
TBC1D29P,ENSG00000266733.7,2.99562494667612,3.18469137264792e-13
SUCNR1,ENSG00000198829.6,2.97766511293379,1.83791035164198e-10
ODAD2,ENSG00000169126.16,2.97676670829668,0.0478798035767307
ZNF536,ENSG00000198597.9,2.93455782865825,1.5488865968414494e-34
BSG-AS1,ENSG00000267751.6,2.90682615020817,8.91567904053114e-06
IL21R,ENSG00000103522.16,2.90552572863786,2.99928726886332e-69
FGD5,ENSG00000154783.12,2.87697245597477,4.07757733239037e-05
TMEM105,ENSG00000185332.8,2.86687421158879,0.0210884461153053
IL12A-AS1,ENSG00000244040.7,2.85272764748857,0.006601432172767
PDLIM1P4,ENSG00000249274.1,2.80311672311717,0.0106109629812204
TRDN,ENSG00000186439.14,2.79608890936633,2.23886992401095e-13
DLX3,ENSG00000064195.7,2.74649494473257,0.0012322343795445
TREML2,ENSG00000112195.9,2.74002880440861,3.8669065720134403e-10
PHOSPHO1,ENSG00000173868.12,2.73770259829419,4.1417947230697e-06
LINC02185,ENSG00000262097.3,2.73080993129111,1.81908315580826e-23
LINC02898,ENSG00000205086.8,2.72243816070453,6.14117736133064e-05
MMRN2,ENSG00000173269.14,2.7069854976493,1.96059313409633e-17
GCOM1,ENSG00000137878.17,2.69967179000373,2.94513734123944e-14
PEAK3,ENSG00000188305.6,2.69786967004702,1.63310852091582e-07
UBXN10,ENSG00000162543.6,2.68982842217896,0.0002273393527752
SLC22A18AS,ENSG00000254827.6,2.68850237308536,1.0307476265491598e-11
ANKRD63,ENSG00000230778.2,2.68748548477366,1.24397921618295e-08
SV2B,ENSG00000185518.12,2.68720740305898,2.35758305521719e-09
GASK1A,ENSG00000144649.10,2.68418182755242,0.0001149314294025
CNR1,ENSG00000118432.13,2.67430062902015,1.7595855281684e-228
TOX2,ENSG00000124191.18,2.66509314389329,2.08292331772078e-40
GREB1,ENSG00000196208.14,2.66252874589667,3.00735588126429e-11
OR13A1,ENSG00000256574.8,2.6516342487843,0.0047001750633766
CD180,ENSG00000134061.5,2.6480722904936,3.1178214464246896e-49
APBB1IP,ENSG00000077420.16,2.63069954876553,1.97376977740728e-231
ACP4,ENSG00000142513.6,2.60514490242481,0.0083171607135975
INTS4P2,ENSG00000273024.6,2.59854687588259,0.0462153871726899
LINC02432,ENSG00000248810.3,2.59393819641564,0.0017789740053173
KLHL32,ENSG00000186231.17,2.57506927156209,0.0473981492196666
FUT7,ENSG00000180549.8,2.57419638458421,1.13021213470741e-34
FGD4,ENSG00000139132.16,2.55344194924787,1.94529227920509e-74
HMCN1,ENSG00000143341.12,2.54388293761535,1.02328225987762e-14
SIT1,ENSG00000137078.10,2.52565364329296,2.8843820142746698e-12
LINC02908,ENSG00000180539.8,2.51941605953287,3.06827187592447e-45
CXCR2,ENSG00000180871.8,2.51887432462217,2.3902764127662103e-09
SPNS2,ENSG00000183018.9,2.51134755843162,1.37357182757979e-98
CUX2,ENSG00000111249.14,2.50459583943939,3.25695623750099e-10
CCDC9B,ENSG00000188549.13,2.47578192489278,8.529594086523903e-16
MTUS1,ENSG00000129422.15,2.46404170268583,2.4711471286507003e-114
RNU6ATAC16P,ENSG00000221518.1,2.45904353242581,0.0078316414273483
CEBPA,ENSG00000245848.3,2.45705007599907,7.89739075664844e-99
SHISAL2A,ENSG00000182183.15,2.45187726895515,0.0127161337467702
CYCSP10,ENSG00000232901.1,2.44199251891016,0.0016534644574291
CCR2,ENSG00000121807.7,2.4381708181292,3.74317488387983e-07
CBFA2T3,ENSG00000129993.15,2.4306991448448,3.0958718201320102e-37
TMEM156,ENSG00000121895.8,2.40351272205432,2.17730874757693e-05
SLC16A14,ENSG00000163053.11,2.39744341849837,5.18256293448862e-06
CABLES1,ENSG00000134508.13,2.39120663307001,0.0001045409395865
LINGO3,ENSG00000220008.3,2.38981385656392,4.04381994039072e-14
SPATA12,ENSG00000186451.2,2.38949211385282,0.0014412415454031
PNPLA3,ENSG00000100344.11,2.3826547228758,3.2266269179558896e-55
DEPTOR,ENSG00000155792.10,2.37380680351622,7.50751079056678e-08
NFIA,ENSG00000162599.17,2.36583568669762,0.002440138322976
TMEM273,ENSG00000204161.14,2.32733971152852,0.0017451972076281
CEBPA-DT,ENSG00000267296.2,2.32040714018079,1.20859059844094e-13
SLC46A1,ENSG00000076351.13,2.31437837410395,3.88930623882435e-47
XK,ENSG00000047597.7,2.30045933337157,1.70372974449109e-39
AACSP1,ENSG00000250420.8,2.29625671903572,0.0122138297674149
ADAMTS15,ENSG00000166106.4,2.28440586085331,3.74410536230534e-177
WIPF3,ENSG00000122574.12,2.27774309571972,5.89475870526691e-32
SLC9A7P1,ENSG00000227825.4,2.26869605737145,1.40884599118013e-45
TMEM86A,ENSG00000151117.9,2.26643587090315,1.8839592109043505e-91
LINC01907,ENSG00000226125.2,2.25995494722309,6.94775031624478e-06
AJAP1,ENSG00000196581.11,2.25982908635655,7.36060718611455e-09
SH3TC1,ENSG00000125089.18,2.24452435622853,6.82906862825554e-169
IGSF22,ENSG00000179057.14,2.2365272708872,5.0555977609489496e-11
ACOX2,ENSG00000168306.13,2.22131939189839,6.43590122236732e-07
ETV1,ENSG00000006468.14,2.22015364564509,1.9839181075842198e-28
CKLF,ENSG00000217555.13,2.21849482277686,0.0016666537924071
CD300A,ENSG00000167851.15,2.21034723611087,9.76787321459851e-126
DLEU7,ENSG00000186047.11,2.20781826948429,4.7698392209914296e-12
LINC00920,ENSG00000246898.2,2.19565785750371,0.0013496196352059
LANCL3,ENSG00000147036.12,2.19513028823166,3.3405347103606e-58
TNFSF11,ENSG00000120659.15,2.18912777148823,0.0070035057380505
KIT,ENSG00000157404.17,2.1863554696816,0.0075457713816768
PRR5L,ENSG00000135362.14,2.17913154474702,1.59313338924627e-17
PYHIN1,ENSG00000163564.15,2.17799205570077,0.0045213266388944
CYSLTR2,ENSG00000152207.8,2.17226429484872,0.038899142017354
NPAS4,ENSG00000174576.10,2.1675343703004,0.0255711205689681
ZBED3,ENSG00000132846.6,2.16437184948709,3.44911414402626e-18
NEURL1B,ENSG00000214357.9,2.16429650066754,7.12943104379225e-14
ABI3,ENSG00000108798.9,2.15499485010776,2.5648082766617702e-20
TMEM169,ENSG00000163449.11,2.14871678616544,3.3499150418262197e-18
TNFRSF10C,ENSG00000173535.15,2.14760322509231,0.0027527855865925
TGM5,ENSG00000104055.17,2.14134641468664,0.0004340631822441
SPECC1,ENSG00000128487.19,2.14053992155505,4.28591319338604e-53
C1orf162,ENSG00000143110.12,2.13583735162871,1.32548791937734e-69
KCNJ15,ENSG00000157551.19,2.13204306026549,2.10321181442347e-14
CLCN4,ENSG00000073464.13,2.11729364673628,7.49434030936033e-26
CXADR,ENSG00000154639.19,2.11272640122643,7.177398732355279e-11
RGS14,ENSG00000169220.18,2.1107390653342,1.47846389807876e-62
