gene_name,gene_id,logfc,p
MIR4432HG,ENSG00000228590.3,6.78938951421821,2.19749130276945e-08
LINC01550,ENSG00000246223.10,6.78874224439397,3.05736069409487e-09
RIC3,ENSG00000166405.15,6.78769127176389,2.41640147099171e-08
CLVS1,ENSG00000177182.11,6.78376450113626,2.63048444351926e-08
DAND5,ENSG00000179284.6,6.77619688591755,2.97998858727623e-08
RN7SKP90,ENSG00000199883.1,6.77324113564587,2.17352882219551e-08
ATP6V0A4,ENSG00000105929.16,6.76865276513158,1.58612291041114e-08
LINC02071,ENSG00000249383.2,6.7590812222857,5.01614022480153e-08
MMP3,ENSG00000149968.12,6.75796094091446,0.0
EMCN,ENSG00000164035.10,6.75772004809783,4.80298321755392e-08
OR8B5P,ENSG00000255030.1,6.74863383125101,3.21550596671666e-07
ELAVL3,ENSG00000196361.10,6.7478067137091,1.99676118118377e-08
SIAH3,ENSG00000215475.5,6.74471684850549,1.54361924805153e-07
NMUR2,ENSG00000132911.5,6.74402214663156,4.19488970581576e-08
LINC02805,ENSG00000232265.8,6.74031379615388,4.59871216094787e-08
LINC01194,ENSG00000248131.6,6.73538341424988,1.61659781785588e-08
PAPPA,ENSG00000182752.10,6.71975253800033,9.677888970878222e-09
IGDCC3,ENSG00000174498.14,6.70918934681551,6.329902038583061e-09
PDE1A,ENSG00000115252.18,6.70050699907739,4.66654751121092e-07
EIF3EP2,ENSG00000224674.1,6.69778985088127,5.80501292898728e-09
ANKRD20A11P,ENSG00000215559.8,6.69657023924519,9.23106819657054e-08
PDE10A,ENSG00000112541.19,6.69621567814245,2.25244637705933e-08
ARHGAP8,ENSG00000241484.10,6.69481825734754,2.97998858727623e-08
LINC02552,ENSG00000256422.7,6.68884647690031,4.58018455386598e-08
HSD17B2,ENSG00000086696.11,6.67687655315937,6.37612648369894e-09
LINC02822,ENSG00000286021.3,6.67016834440879,8.96252250605649e-08
OR10K1,ENSG00000173285.5,6.66997140469444,5.4985520550564e-09
RNU1-136P,ENSG00000206908.1,6.65126293946481,1.04604663438691e-07
LINC01836,ENSG00000267530.4,6.64375043463438,3.59335674765121e-08
LINC01630,ENSG00000227115.9,6.63858755969063,1.14181457329433e-08
CYP4B1,ENSG00000142973.15,6.63654275822937,7.57300358703038e-08
DPPA3,ENSG00000187569.3,6.63280203884263,3.25338092123103e-07
FGF12,ENSG00000114279.15,6.63263935615996,4.91024228599414e-08
DNAH5,ENSG00000039139.11,6.63125415111218,5.25257364324179e-08
OR10H5,ENSG00000172519.10,6.61998093847988,3.02932819279611e-07
OR9Q1,ENSG00000186509.4,6.61378931221683,8.19702805757098e-08
