,logfc,p
ENSG00000234156.3,6.68725210909556,3.48841085500841e-08
ENSG00000289192.1,6.68001797756032,7.49616744878726e-09
ENSG00000086696.11,6.67687655315937,6.37612648369894e-09
ENSG00000230991.2,6.67359183229033,1.30524577458451e-07
ENSG00000286021.3,6.67016834440879,8.96252250605649e-08
ENSG00000173285.5,6.66997140469444,5.4985520550564e-09
ENSG00000285971.1,6.66034258251111,1.09965402010659e-07
ENSG00000248200.2,6.6596143625247,5.34490401123681e-08
ENSG00000240107.1,6.6563432806652,3.72737391621742e-08
ENSG00000206908.1,6.65126293946481,1.04604663438691e-07
ENSG00000267530.4,6.64375043463438,3.59335674765121e-08
ENSG00000227115.9,6.63858755969063,1.14181457329433e-08
ENSG00000255216.2,6.63820607095539,3.91280460774694e-08
ENSG00000142973.15,6.63654275822937,7.57300358703038e-08
ENSG00000187569.3,6.63280203884263,3.25338092123103e-07
ENSG00000114279.15,6.63263935615996,4.91024228599414e-08
ENSG00000039139.11,6.63125415111218,5.25257364324179e-08
ENSG00000227455.3,6.62992754369886,1.77934610632488e-07
ENSG00000233517.1,6.62048188037872,1.50412407822746e-07
ENSG00000172519.10,6.61998093847988,3.02932819279611e-07
ENSG00000279107.1,6.61588256195205,1.76229554471906e-08
ENSG00000254111.3,6.61537826304029,5.29829947417705e-07
ENSG00000186509.4,6.61378931221683,8.19702805757098e-08
ENSG00000241640.2,6.61216826176085,1.67237144200837e-08
ENSG00000250827.1,6.61195246038199,6.28526297214659e-08
ENSG00000250564.2,6.60456630776703,4.89787184477677e-08
ENSG00000005102.14,6.6032443805291,1.42696612254949e-07
ENSG00000235815.1,6.59989891019393,5.37249558203451e-08
ENSG00000267543.1,6.59704659205484,5.17611072430788e-08
ENSG00000275410.6,6.59618425392134,4.64386750140094e-08
ENSG00000245954.9,6.5958900450725,6.29239167676363e-07
ENSG00000255476.1,6.58556244249191,7.64295987724084e-08
ENSG00000242512.9,6.57975558265482,6.7855280338761e-09
ENSG00000140459.18,6.57498937684878,1.94392376317595e-07
ENSG00000279358.1,6.57097088169117,2.77873933039764e-07
ENSG00000180708.6,6.56865194893037,1.77232546543483e-07
ENSG00000260206.1,6.56651079656797,2.25562219066255e-06
ENSG00000199426.1,6.56082240585217,5.82029622439319e-07
ENSG00000172742.6,6.55861554749069,1.30882731686572e-07
ENSG00000235142.11,6.55531010881327,9.12165820244944e-09
ENSG00000196119.8,6.55509671327401,6.17202153068052e-08
ENSG00000253577.2,6.55090270388407,7.23979303056052e-08
ENSG00000256463.10,6.54996130464022,1.14307539492223e-07
ENSG00000261445.1,6.54668187331189,6.25527577675468e-08
ENSG00000072041.18,6.5466754712534,1.63137356696216e-07
ENSG00000253734.2,6.53919810607538,1.0078015497668e-06
ENSG00000196242.10,6.5367168847123,2.38572465645517e-08
ENSG00000217455.8,6.53533691577432,7.09285922922431e-07
ENSG00000048540.16,6.51723692601167,1.95952308262991e-08
ENSG00000284523.2,6.51427127172078,2.75835735112493e-08
ENSG00000149596.7,6.51084917918644,2.89083133752826e-07
ENSG00000182177.15,6.51012321207533,5.12294122320797e-07
ENSG00000253488.1,6.50925068485128,1.1092833109167e-07
ENSG00000156218.13,6.50404421937649,2.55223304506235e-07
ENSG00000182263.14,6.50191428880967,3.52439083384248e-07
ENSG00000287008.1,6.49912497639788,1.61863514607783e-07
ENSG00000270484.1,6.49912497639788,1.61863514607783e-07
ENSG00000251600.8,6.4989423164589,1.86853655529752e-06
ENSG00000275805.1,6.49724259060657,1.17075306806924e-07
ENSG00000289310.1,6.49399285118297,3.45792293858527e-07
ENSG00000140945.17,6.49333029733937,1.86118435704443e-08
ENSG00000137090.12,6.49293851888298,2.85549835784381e-08
ENSG00000229425.4,6.49218290112357,1.36787444173282e-07
ENSG00000245526.12,6.49158085905129,9.89839408995481e-07
ENSG00000256870.3,6.49020526766639,1.35258550146059e-07
ENSG00000125046.16,6.48999502222669,2.58985516250335e-08
ENSG00000279905.1,6.48861410346059,1.37157050969004e-06
ENSG00000021645.20,6.48382521662539,3.58912403272045e-08
ENSG00000258903.2,6.48381847383173,2.37392492325785e-07
ENSG00000289279.1,6.47896973742252,1.02217278078063e-06
ENSG00000227630.4,6.47511218946374,4.64639903696405e-07
ENSG00000267852.1,6.47379620131889,1.14839409479337e-07
ENSG00000204117.2,6.47123874347737,2.64118805439404e-08
ENSG00000286085.1,6.47071229922401,6.79427619273918e-07
ENSG00000230335.1,6.47068531674918,6.47337303025904e-07
ENSG00000231252.4,6.46837104175729,2.63975267190622e-07
ENSG00000289572.1,6.46767723243014,7.73307382017742e-07
ENSG00000287741.1,6.46060227208668,2.07389820626273e-07
ENSG00000154556.18,6.45977917889184,6.4326743575125e-09
ENSG00000153822.15,6.45751357767971,2.11836155403643e-07
ENSG00000286668.1,6.45556467580306,3.31268496548946e-07
