,logfc,p
ENSG00000255282.6,7.61831794463932,5.6802744531286185e-11
ENSG00000125999.11,7.60221588442597,4.5534457084642094e-11
ENSG00000164946.20,7.60207246662471,5.2121429497628096e-11
ENSG00000078328.23,7.59666349867391,5.853996622455749e-11
ENSG00000279810.1,7.5862262781604,2.173122587238e-11
ENSG00000186960.14,7.58525511238547,2.00835274262794e-11
ENSG00000203356.2,7.58291224157909,1.02720189263827e-10
ENSG00000231316.1,7.58231975787865,1.8912630923304495e-11
ENSG00000232105.1,7.5633378764377,3.07226604717367e-11
ENSG00000163618.18,7.56127278091898,2.97303425819645e-11
ENSG00000184999.13,7.5590655571129,1.1133383408173602e-09
ENSG00000237807.4,7.55641113308692,9.18789975833376e-11
ENSG00000132204.14,7.55131948927007,1.34698138051487e-10
ENSG00000287516.1,7.53752956973424,9.10925558335114e-11
ENSG00000246223.10,7.5204958296791,4.6877126216815696e-11
ENSG00000254976.1,7.51036998305582,5.3440766018200896e-11
ENSG00000105929.16,7.50065370611074,3.66614341628242e-10
ENSG00000224243.2,7.4917712040063,7.236355013682568e-11
ENSG00000253362.1,7.49022172745244,1.12225650063017e-10
ENSG00000253394.7,7.47757070198741,7.55643953605669e-11
ENSG00000286467.1,7.47530975969173,1.04975853907072e-10
ENSG00000264125.1,7.45940612769787,1.4806916064133e-10
ENSG00000206659.1,7.45700195451672,5.35150110347492e-11
ENSG00000242808.11,7.44439724630535,4.7805233904588e-12
ENSG00000174498.14,7.44099286859045,1.10170997699602e-10
ENSG00000256581.1,7.4380308527828,2.24074890056498e-10
ENSG00000224674.1,7.42888453099169,9.770245073177628e-11
ENSG00000144285.23,7.42554191074373,3.09698506060231e-10
ENSG00000279324.1,7.41298045890893,2.25143796501943e-10
ENSG00000252431.1,7.41208078778662,1.693273261542e-10
ENSG00000289192.1,7.41155447932417,1.32981113495882e-10
ENSG00000173285.5,7.40114552851861,8.91326446690072e-11
ENSG00000286662.2,7.39649459472776,9.509394856854e-11
ENSG00000254166.3,7.39443047014341,6.32177282670663e-12
ENSG00000289419.1,7.37878664972096,1.34647425183804e-10
ENSG00000162105.21,7.37662851600099,1.6964693822236702e-10
ENSG00000259070.8,7.37615779002245,1.22194205895618e-10
ENSG00000288777.1,7.37405496513934,4.10211109037875e-10
ENSG00000227115.9,7.36965749000156,2.19340577753347e-10
ENSG00000282968.1,7.36406810203458,1.93077493750086e-10
ENSG00000114279.15,7.36351693813269,1.3784025267072e-09
ENSG00000039139.11,7.36218202030204,1.50350289128592e-09
ENSG00000237001.7,7.35248130333361,1.54072284717692e-10
ENSG00000164398.15,7.34380092130896,1.96751438669525e-10
ENSG00000241640.2,7.34328822051014,3.47059014579507e-10
ENSG00000267779.7,7.33267406103201,8.61288540808757e-10
ENSG00000155816.21,7.32371782191893,2.05508710095838e-09
ENSG00000264116.6,7.3176032401159,3.01304997090859e-10
ENSG00000242512.9,7.30972245980248,2.30572445592788e-10
ENSG00000249359.3,7.30946157269703,2.44194935605927e-10
ENSG00000103449.13,7.28567238696624,2.12501058807097e-10
ENSG00000231764.11,7.28372600531544,3.35227450954115e-10
ENSG00000270207.2,7.26984351622993,4.04267034849698e-10
ENSG00000261178.2,7.26076448670796,3.67901163518826e-10
ENSG00000286217.2,7.25972026412669,6.42511920343023e-10
ENSG00000287177.1,7.2588950432945,3.86505800268702e-10
ENSG00000286663.1,7.25238977077571,7.71563070309779e-10
ENSG00000090402.8,7.24558581803869,9.02150247176808e-10
ENSG00000285867.1,7.24281325597114,1.42866738943864e-10
ENSG00000008197.5,7.22779660826492,3.60589705743199e-10
ENSG00000189056.15,7.22595628553895,6.039181175026e-09
ENSG00000140945.17,7.22441793312227,3.59284519932046e-10
ENSG00000272512.1,7.22195479681044,4.29303301830471e-10
ENSG00000105392.16,7.21808199043206,6.729971071978189e-11
ENSG00000215483.12,7.21573963825776,9.57688692515288e-10
ENSG00000258903.2,7.21459112623885,9.327354184293472e-09
ENSG00000021645.20,7.21454979801235,8.357963601973441e-10
ENSG00000151320.11,7.21176106934349,1.00688310723139e-08
ENSG00000260971.4,7.20449278983615,6.592883340497811e-10
ENSG00000204117.2,7.20294462797328,5.5409748306392e-10
ENSG00000289611.1,7.19716169927307,1.87408936457941e-09
ENSG00000185847.9,7.19361728346626,5.04081575438423e-10
ENSG00000174667.4,7.19184278993419,8.23410141304896e-10
ENSG00000288876.1,7.17994784410579,1.4483816637567e-09
ENSG00000143469.20,7.17004921776915,4.86368724357166e-09
ENSG00000288575.1,7.16736220365822,1.13765962776901e-09
ENSG00000181143.15,7.1666117342264,1.16919226881697e-08
ENSG00000254425.1,7.16562899576065,1.1189725389295e-09
ENSG00000254275.6,7.1616917331559,3.17677096858169e-09
ENSG00000164627.18,7.1567168090329,4.11360990585521e-09
ENSG00000237654.6,7.15279416391539,1.42338232489854e-09
ENSG00000267761.3,7.14751620759373,3.6600953809257395e-09
ENSG00000267402.1,7.14542176295014,1.69669807517242e-09
ENSG00000143416.21,7.13523704119032,2.27317759668939e-09
ENSG00000125813.14,7.13192312143432,1.60035287732031e-09
ENSG00000280117.1,7.13172592192899,1.39868583178134e-08
ENSG00000179577.4,7.12965353116387,3.58325542451005e-10
ENSG00000215357.2,7.12783824642605,1.22174909722865e-09
ENSG00000257127.6,7.12511919631735,1.18992838204867e-09
ENSG00000276627.3,7.12078534301262,3.56585516886393e-09
ENSG00000077264.16,7.12040265916206,1.53695186773433e-09
ENSG00000260372.7,7.11782535604169,3.8193708073057e-09
ENSG00000219491.7,7.1123551958655,2.35069150132311e-10
ENSG00000264985.4,7.11017737073794,3.51400375459967e-09
ENSG00000254775.2,7.09921680652537,8.11898518831548e-08
ENSG00000234948.2,7.09617572317067,3.1221291902182303e-10
ENSG00000146839.19,7.09492491429355,1.16486162998292e-09
ENSG00000265313.7,7.09326659700344,5.141380522101281e-09
ENSG00000236538.1,7.0923966477638,1.46601174220033e-08
ENSG00000241956.11,7.09212903122721,1.2156108821292602e-09
ENSG00000286647.1,7.09009761966309,1.28926971034628e-09
ENSG00000259195.1,7.08789280211558,8.59168455811146e-09
ENSG00000253642.6,7.08121820298367,5.13755215808108e-09
ENSG00000089250.20,7.08116467301225,4.1878808177744405e-09
ENSG00000260230.5,7.06432206768483,1.7033488634493e-09
ENSG00000260163.1,7.06314266286104,1.39253000659841e-09
ENSG00000125398.8,7.05899581650268,1.69190069609686e-09
ENSG00000287558.1,7.05817359858934,5.03693983182746e-09
ENSG00000172548.15,7.05347694649327,3.84062975181367e-10
ENSG00000289628.1,7.05092257512556,1.02947102612072e-08
ENSG00000286675.1,7.03560328626004,2.4642558424249404e-09
ENSG00000250038.7,7.0348209157685,4.78537921269144e-09
ENSG00000186487.21,7.03097491323537,5.514095127473861e-10
ENSG00000234352.9,7.03006871239127,4.97904754903601e-09
ENSG00000184454.7,7.0296368203178,2.42182507634769e-09
ENSG00000251273.4,7.02439778374469,1.9112497412466303e-09
ENSG00000230148.8,7.02373460270368,4.830708337293329e-09
ENSG00000104237.11,7.01766408691211,4.66325195100715e-10
ENSG00000165762.3,7.01397490137421,6.4454589424737e-09
ENSG00000288565.1,7.01219050678021,7.245758837439121e-09
ENSG00000271304.2,6.98946359209755,3.17801329387459e-09
ENSG00000100012.12,6.9892465488696,2.43354334721668e-09
ENSG00000207176.1,6.98887983275022,2.4263609843911604e-09
ENSG00000233776.5,6.98670808901444,2.59623988365612e-09
ENSG00000231839.1,6.98556825477139,3.58848201247066e-09
ENSG00000064042.18,6.98207422699676,7.16095994124827e-10
ENSG00000264151.6,6.97511150037814,8.12547513095703e-09
ENSG00000174418.7,6.97478339616605,1.58004059716283e-08
ENSG00000168334.9,6.96272133049478,0.0
ENSG00000180287.17,6.9596409588901,5.936040513778441e-09
ENSG00000254300.1,6.95943184841034,5.18980742350183e-09
ENSG00000249948.7,6.95829653161573,2.2785633026946803e-19
ENSG00000267659.5,6.9576997598824,6.249651865636381e-09
ENSG00000285159.1,6.95745102807262,5.32627570859306e-09
ENSG00000121904.19,6.9524907368258,1.6441980018392e-08
ENSG00000166670.10,6.9510983133643,5.91961656061557e-82
ENSG00000119121.22,6.95082501500157,1.32475882671801e-08
ENSG00000240641.3,6.94701658927313,7.363766558848241e-09
ENSG00000225236.1,6.92062599070983,6.137722566410621e-09
ENSG00000287749.1,6.91924752512013,6.85150001673491e-09
ENSG00000286889.1,6.91666530537305,7.35696897112118e-09
ENSG00000247381.3,6.91611002530385,5.350832926321061e-09
ENSG00000226356.2,6.91522078115613,1.34487277893776e-08
ENSG00000106648.14,6.91258489763896,7.142674519566741e-09
ENSG00000141431.13,6.91175663724021,6.6186545876064e-09
ENSG00000258827.2,6.91052883988824,1.00119089626872e-08
ENSG00000259225.8,6.90958205397956,3.6773295408909502e-09
ENSG00000204967.12,6.90200749970215,5.76005149763254e-09
ENSG00000248456.1,6.89377308538735,5.14142585527599e-08
ENSG00000224271.7,6.88977513207736,2.5960484072197e-09
ENSG00000136531.19,6.88666346324118,1.98512414893481e-08
ENSG00000226827.1,6.87835041344899,1.57046857177633e-08
ENSG00000164729.8,6.87412648903242,5.6933114789967114e-09
ENSG00000200254.1,6.87303366235782,6.5228230339983405e-09
ENSG00000233639.8,6.87128792341213,8.13327980448689e-08
