,logfc,p
ENSG00000174371.17,4.60093993894222,2.09093727178377e-87
ENSG00000205746.9,4.59797410919571,0.0001136888309785
ENSG00000125968.9,4.59140787361481,2.3816890340540507e-52
ENSG00000134222.16,4.5848804128481,3.4426018379596703e-45
ENSG00000142731.11,4.57753507176667,4.66412970365811e-49
ENSG00000075218.19,4.55311328330817,1.85567817798071e-47
ENSG00000117724.14,4.54672041412763,2.5561923852304e-218
ENSG00000133302.13,4.54537639980134,5.79559927681635e-32
ENSG00000171847.11,4.53444441728339,0.0004580799617726
ENSG00000179750.16,4.52621474785342,1.39558721347004e-13
ENSG00000163507.15,4.5175396908327,4.1662916796810698e-50
ENSG00000100479.13,4.51575723476557,2.36941628225748e-15
ENSG00000287275.2,4.4956352202215,0.0006948111745594
ENSG00000166813.16,4.48108416132176,9.64879927643417e-05
ENSG00000051180.17,4.4624759384795,1.35824580662282e-43
ENSG00000175857.9,4.45771419821505,4.9481265330308716e-23
ENSG00000178295.15,4.44946179854197,2.19463343206762e-59
ENSG00000277534.1,4.44838627986148,0.0001114192310746
ENSG00000261000.1,4.44522573268582,0.001448667074749
ENSG00000214826.5,4.44258106335527,3.16666923964787e-06
ENSG00000166851.15,4.44238628505116,3.7537351151568695e-40
ENSG00000115163.15,4.43672030952196,4.514990596621991e-15
ENSG00000265148.7,4.43212265989611,3.5644867395276e-08
ENSG00000154920.15,4.42231183137661,1.64318662562537e-16
ENSG00000103522.16,4.41009160359868,5.03532499416206e-38
ENSG00000231870.4,4.4004569581702,0.000194378016746
ENSG00000227066.2,4.39266921346823,7.25508190093201e-15
ENSG00000259081.1,4.39219214177301,0.0001474442401592
ENSG00000137877.10,4.38377995693432,2.25321992379859e-19
ENSG00000267895.1,4.36357272163869,0.0009703738046373
ENSG00000285943.1,4.36298407967573,0.0011910777938682
ENSG00000196550.11,4.36286836621666,1.78249049453034e-09
ENSG00000280120.1,4.36008804285276,0.0001591991693928
ENSG00000265763.4,4.36006341240552,0.0014807620908318
ENSG00000223749.11,4.35724349781303,1.09443645607889e-15
ENSG00000259732.1,4.34474159993286,0.0005314769168936
ENSG00000180539.8,4.33294600704058,2.08912963975481e-32
ENSG00000111247.15,4.32885143951631,1.4600400371487402e-20
ENSG00000158164.7,4.32832155500056,0.00069874507488
ENSG00000186301.8,4.3276147283588,0.0005175418231332
ENSG00000113368.12,4.3269915219525,2.30339372677109e-158
ENSG00000122122.10,4.32639701666048,1.82569445624015e-124
ENSG00000175894.18,4.32239716815979,0.0012589100131542
ENSG00000105352.11,4.32084255590749,7.60112436981301e-06
ENSG00000158402.21,4.31730132933836,8.382546754262299e-13
ENSG00000161911.12,4.31194074058118,3.5058813503265e-25
ENSG00000137310.12,4.30726602542493,1.6549442012702702e-85
ENSG00000129810.15,4.30337878927205,3.55617302599701e-19
ENSG00000267980.1,4.29071335503734,0.0005275932923379
ENSG00000286545.1,4.28446196832012,0.000265632117627
ENSG00000118193.12,4.28381728978034,7.31944582433694e-47
ENSG00000139734.19,4.28372562303715,5.09851193124168e-42
ENSG00000286276.1,4.28177614840627,0.0022556318856429
ENSG00000287731.1,4.27818487784346,0.0005812387148073
ENSG00000171848.16,4.27596715144056,1.75033742670675e-217
ENSG00000163221.9,4.27273259632246,4.0511444078674e-11
ENSG00000232124.3,4.26849257020411,0.0024881235661904
ENSG00000160307.10,4.25669403074941,1.04690679695213e-13
ENSG00000169604.21,4.25415055248617,1.09542045912365e-181
ENSG00000013810.21,4.25393880987317,1.5080565259231202e-169
ENSG00000163220.11,4.2536608978867,1.92063080083999e-100
ENSG00000185697.17,4.25000125587186,6.00166471880265e-33
ENSG00000170128.5,4.24898601672582,0.0008946029222416
ENSG00000138182.15,4.24045991038546,3.29600895312026e-50
ENSG00000178919.9,4.23756744625815,9.91690072108192e-06
ENSG00000186638.17,4.23576791860563,6.441159948535241e-25
ENSG00000117632.23,4.23507397733053,2.11804722268225e-177
ENSG00000188610.12,4.23337186903221,1.00119615517071e-10
