gene_id,MFL01,MFL02,MFL03,MFL04,MFN01,MFN02,MFN03,MFN04
ENSG00000272153.1,11,19,13,15,13,14,11,15
ENSG00000116198.14,584,589,408,542,568,628,804,587
ENSG00000169598.17,114,107,82,95,81,101,104,110
ENSG00000198912.12,446,416,357,390,430,513,571,470
ENSG00000236423.7,31,30,17,44,27,23,35,18
ENSG00000233304.7,0,0,0,0,0,0,0,0
ENSG00000284668.2,0,0,0,1,0,0,0,0
ENSG00000284703.1,0,0,0,1,0,0,0,0
ENSG00000229280.1,0,2,0,0,0,0,0,0
ENSG00000235054.4,0,0,0,0,0,0,0,0
ENSG00000284694.1,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0,0
ENSG00000196581.11,6,10,9,6,46,28,40,42
ENSG00000287586.1,4,4,3,1,11,27,21,22
ENSG00000284674.1,0,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,0,0,0
ENSG00000284692.2,0,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,0,0,0
ENSG00000264101.1,0,0,1,0,0,0,0,0
ENSG00000131697.18,326,317,240,327,353,395,445,356
ENSG00000069424.16,4451,4166,3486,4205,9284,9133,11506,9329
ENSG00000116254.18,6,2,3,5,2,3,5,3
ENSG00000285629.1,0,0,0,1,1,0,0,0
ENSG00000116251.11,1325,1363,1073,1112,1074,1251,1424,1294
ENSG00000226944.1,1,0,0,1,0,1,1,0
ENSG00000158286.13,6,8,6,7,8,15,10,10
ENSG00000116237.16,1346,1308,1144,1247,1998,2170,2772,2273
ENSG00000225077.3,4,4,1,1,6,7,11,4
ENSG00000173673.8,0,0,0,0,0,0,0,1
ENSG00000158292.7,51,50,44,51,51,55,61,46
ENSG00000097021.20,239,196,193,208,306,279,397,277
ENSG00000271746.1,0,0,0,2,1,1,1,0
ENSG00000069812.11,4,3,0,0,0,0,2,1
ENSG00000187017.18,3,6,1,8,5,6,5,7
ENSG00000231868.1,1,0,0,0,0,1,0,0
ENSG00000215788.11,4,1,2,2,0,1,3,2
ENSG00000171680.23,1,2,0,1,3,2,7,1
ENSG00000162408.11,504,484,407,435,387,451,535,400
ENSG00000253022.1,0,0,1,0,1,0,1,0
ENSG00000229519.2,5,3,3,0,0,2,1,2
ENSG00000173662.21,0,0,0,0,0,0,0,0
ENSG00000204859.13,659,649,463,569,668,636,817,604
ENSG00000162413.17,500,471,336,479,402,391,499,438
ENSG00000116273.6,233,233,167,216,190,227,290,223
ENSG00000041988.16,388,393,280,312,249,242,295,217
ENSG00000007923.17,981,926,735,884,695,807,915,740
ENSG00000228750.7,0,0,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,0,0,0
ENSG00000237436.1,1,0,0,0,1,1,2,1
ENSG00000171735.19,312,275,268,288,216,230,284,224
ENSG00000227950.1,1,0,1,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0,0
ENSG00000237402.1,1,0,0,0,0,0,0,0
ENSG00000270171.1,1,0,0,2,1,0,1,0
ENSG00000270035.1,0,0,0,1,0,1,2,0
ENSG00000269978.1,1,2,2,1,2,0,0,0
ENSG00000049245.13,1219,1108,953,1033,860,1037,1227,1033
ENSG00000269925.1,6,8,3,9,15,15,19,10
ENSG00000049246.15,30,29,16,32,46,53,80,59
ENSG00000236266.1,1,1,0,0,0,0,1,1
ENSG00000049247.14,231,241,181,178,252,264,291,281
ENSG00000049249.9,5529,6413,4039,5299,498,724,835,604
ENSG00000270330.1,0,1,0,0,0,0,0,0
ENSG00000116288.13,2950,3037,2325,2601,2274,2608,2995,2616
ENSG00000200344.1,0,1,1,1,1,4,1,0
ENSG00000284747.1,14,10,11,8,12,10,11,3
ENSG00000284716.1,0,0,0,0,0,0,1,0
ENSG00000116285.13,25,36,31,34,16,19,30,24
ENSG00000238290.1,0,0,0,0,0,0,0,0
ENSG00000232848.1,6,2,4,1,0,1,1,0
ENSG00000229305.1,0,0,0,0,0,0,0,0
ENSG00000288816.1,0,0,0,0,0,0,0,0
ENSG00000227634.3,0,1,0,0,0,0,0,0
ENSG00000162426.16,1,5,6,3,2,8,10,5
ENSG00000142599.19,729,812,500,622,519,558,629,504
ENSG00000232912.6,7,8,3,4,0,0,1,1
ENSG00000221083.1,0,0,0,0,0,0,0,0
ENSG00000270282.1,0,0,1,0,0,0,0,0
ENSG00000234619.1,7,11,4,4,5,4,4,2
ENSG00000224315.2,4,4,1,6,2,2,1,2
ENSG00000222511.2,0,0,0,0,1,0,1,0
ENSG00000226545.1,1,0,0,0,1,1,0,1
ENSG00000228423.2,1,0,0,0,0,0,0,0
ENSG00000229716.2,1,1,0,1,0,0,0,0
ENSG00000074800.16,22032,20570,16347,18612,17125,18169,21031,18330
ENSG00000274258.1,2,0,2,0,0,0,1,0
ENSG00000230679.1,0,1,1,1,1,0,2,0
ENSG00000201725.1,0,0,1,0,0,0,0,0
ENSG00000238249.2,3,5,4,4,3,9,13,8
ENSG00000232208.2,0,0,0,0,0,0,0,0
ENSG00000131686.15,0,0,2,0,0,0,0,0
ENSG00000265141.2,0,0,0,0,0,1,0,0
ENSG00000142583.18,681,853,520,650,749,898,1208,858
ENSG00000252404.1,0,0,0,0,0,0,0,0
ENSG00000180758.12,941,1186,761,1013,164,184,231,172
ENSG00000228526.7,84,88,56,83,17,21,13,9
ENSG00000234546.5,2,3,5,4,3,1,5,9
ENSG00000049239.13,2720,2752,1977,2528,2167,2474,2950,2412
ENSG00000171621.14,1830,1820,1293,1579,476,475,555,547
ENSG00000284652.1,1,1,1,3,1,4,4,1
ENSG00000284693.2,17,19,6,20,33,32,48,37
ENSG00000235263.1,0,0,0,0,0,0,0,0
ENSG00000171612.7,383,336,293,321,289,309,391,307
ENSG00000231181.1,12,10,9,5,12,9,9,11
ENSG00000188807.13,355,328,251,285,405,324,421,335
ENSG00000171608.17,598,567,437,532,1238,1216,1538,1249
ENSG00000179840.5,3,4,5,1,7,6,7,8
ENSG00000233268.3,0,0,0,0,0,0,0,0
ENSG00000231789.3,0,0,3,0,0,1,1,3
ENSG00000171603.18,2475,2540,2024,2404,3264,3511,4559,3633
ENSG00000271264.1,0,0,0,0,0,0,2,1
ENSG00000280113.2,0,0,0,0,0,0,0,0
ENSG00000178585.15,108,120,95,107,158,171,188,144
ENSG00000285701.1,0,2,1,1,1,5,1,0
ENSG00000162441.12,576,526,473,525,567,702,792,619
ENSG00000228150.1,6,3,2,6,1,6,1,0
ENSG00000173614.14,273,269,184,266,279,375,394,315
ENSG00000202415.1,0,7,4,1,1,0,2,0
ENSG00000283611.2,0,1,5,5,3,3,2,2
ENSG00000265521.1,1,2,1,0,3,0,1,0
ENSG00000162444.12,1,1,2,2,0,3,8,3
ENSG00000130939.20,694,668,562,608,873,1001,1180,1036
ENSG00000224340.1,0,0,1,0,0,0,0,0
ENSG00000233623.2,0,1,0,1,0,1,0,2
ENSG00000201746.1,0,0,0,1,1,0,0,0
ENSG00000054523.19,2431,2068,2099,2178,1138,1359,1563,1518
ENSG00000264881.1,0,0,0,0,0,0,0,0
ENSG00000199562.1,0,0,1,0,2,0,0,0
ENSG00000284735.1,4,3,2,5,5,8,6,2
ENSG00000284642.1,14,13,9,8,8,3,3,3
ENSG00000142657.21,9437,9058,7175,8473,9738,9548,11924,9983
ENSG00000271989.1,0,0,0,0,0,1,0,0
ENSG00000251503.8,0,0,0,0,0,0,1,0
ENSG00000175279.22,26,32,20,23,17,21,23,26
ENSG00000241563.4,1,4,1,1,1,1,2,0
ENSG00000160049.12,660,636,497,608,652,711,834,662
ENSG00000142655.13,306,325,252,267,297,280,352,258
ENSG00000287727.1,1,4,5,4,4,3,4,8
ENSG00000243267.3,2,0,0,0,1,0,0,1
ENSG00000130940.15,84,86,62,91,58,58,50,51
ENSG00000272078.1,16,13,13,8,9,7,9,5
ENSG00000225158.2,0,0,0,0,0,0,0,0
ENSG00000175262.14,11,5,9,5,15,25,27,25
ENSG00000215785.2,0,1,0,1,0,1,0,0
ENSG00000120948.19,2786,2836,2357,2601,2649,3260,3655,3101
ENSG00000009724.17,47,39,36,38,40,38,46,35
ENSG00000116649.10,1658,1538,1150,1382,1352,1305,1562,1425
ENSG00000171824.14,1355,1271,1003,1079,1098,1210,1488,1229
ENSG00000226849.1,6,1,0,1,3,1,5,3
ENSG00000230337.2,6,3,2,1,5,8,8,3
ENSG00000198793.13,2611,2560,1954,2376,2051,2306,2792,2410
ENSG00000225602.5,0,2,0,0,2,0,1,0
ENSG00000171819.5,2,1,1,0,0,1,0,0
ENSG00000238173.1,0,0,1,2,0,0,1,1
ENSG00000120942.14,499,447,366,471,410,499,532,489
ENSG00000238199.1,3,3,0,1,1,1,1,1
ENSG00000224338.2,0,0,0,0,0,0,0,0
ENSG00000204624.8,2,0,0,3,0,1,0,0
ENSG00000284708.1,0,0,1,0,0,0,0,0
ENSG00000116661.11,1,1,0,0,1,2,0,1
ENSG00000132879.14,278,292,212,222,284,263,328,279
ENSG00000116663.11,670,759,475,569,80,80,95,95
ENSG00000116670.15,491,571,353,444,418,456,608,480
ENSG00000162490.7,7,13,9,15,10,14,22,10
ENSG00000177674.16,294,286,260,292,462,374,467,369
ENSG00000215910.8,0,0,0,0,0,1,0,0
ENSG00000177000.13,479,503,388,513,657,751,886,723
ENSG00000011021.23,444,420,333,403,585,593,733,603
ENSG00000175206.11,1,0,1,2,1,0,1,0
ENSG00000224904.1,1,2,1,0,0,0,0,1
ENSG00000285646.2,4,5,3,6,0,1,2,3
ENSG00000201801.1,1,1,0,0,0,0,0,0
ENSG00000116685.16,900,903,736,858,1073,1048,1291,1006
ENSG00000083444.17,2555,2777,2044,2599,3591,3720,4518,3612
ENSG00000287384.1,0,1,0,0,0,1,0,0
ENSG00000116688.18,2857,2708,2113,2673,2585,2745,3422,2820
ENSG00000270914.1,0,0,0,0,0,0,0,0
ENSG00000116691.11,472,475,321,351,353,367,402,330
ENSG00000202461.1,2,4,0,4,4,2,3,4
ENSG00000243539.3,0,1,0,0,0,0,0,0
ENSG00000120949.15,11,3,5,8,2,1,5,3
ENSG00000201135.1,0,0,0,0,0,0,0,0
ENSG00000227875.2,0,0,1,2,0,0,1,0
ENSG00000285604.1,0,0,0,0,0,0,0,0
ENSG00000028137.19,15402,16629,10689,14826,7056,7382,8378,7669
ENSG00000263676.1,0,0,0,1,0,0,0,0
ENSG00000225196.2,0,1,0,0,0,0,0,0
ENSG00000048707.15,1399,1229,1127,1228,1087,1366,1587,1405
ENSG00000239149.1,1,1,1,0,0,1,0,0
ENSG00000229484.2,3,4,5,4,13,15,20,16
ENSG00000162496.9,491,549,388,443,881,981,1096,866
ENSG00000221340.1,1,1,1,0,3,2,1,1
ENSG00000276830.1,0,0,2,0,0,0,1,0
ENSG00000288927.1,26,27,15,27,51,46,57,45
ENSG00000272482.1,1,0,1,0,0,5,1,2
ENSG00000204518.3,0,0,0,0,1,0,0,0
ENSG00000188984.12,0,0,0,0,0,0,0,0
ENSG00000157330.10,0,0,0,0,0,0,0,0
ENSG00000116726.5,0,0,0,0,0,0,0,0
ENSG00000116721.9,0,0,0,0,0,0,0,0
ENSG00000231103.2,0,0,0,0,0,0,0,0
