gene_id,MFN01,MFN02,MFN03,MFN04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000224340.1,0,0,0,0,1,2,5,0
ENSG00000233623.2,0,1,0,2,0,0,1,1
ENSG00000201746.1,1,0,0,0,0,0,0,0
ENSG00000054523.19,1138,1359,1563,1518,1104,1050,990,1226
ENSG00000264881.1,0,0,0,0,1,0,0,0
ENSG00000199562.1,2,0,0,0,5,4,8,3
ENSG00000284735.1,5,8,6,2,13,4,10,7
ENSG00000284642.1,8,3,3,3,4,12,5,5
ENSG00000142657.21,9738,9548,11924,9983,12849,11881,12554,13797
ENSG00000271989.1,0,1,0,0,0,1,0,0
ENSG00000251503.8,0,0,1,0,1,0,0,0
ENSG00000175279.22,17,21,23,26,7,4,6,3
ENSG00000241563.4,1,1,2,0,0,0,1,0
ENSG00000160049.12,652,711,834,662,276,226,236,265
ENSG00000142655.13,297,280,352,258,118,117,124,138
ENSG00000287727.1,4,3,4,8,3,1,2,1
ENSG00000243267.3,1,0,0,1,0,0,0,0
ENSG00000130940.15,58,58,50,51,39,42,29,38
ENSG00000272078.1,9,7,9,5,6,4,2,3
ENSG00000225158.2,0,0,0,0,2,2,3,1
ENSG00000175262.14,15,25,27,25,3,4,5,2
ENSG00000215785.2,0,1,0,0,6,2,4,1
ENSG00000120948.19,2649,3260,3655,3101,680,618,710,874
ENSG00000009724.17,40,38,46,35,6,3,8,6
ENSG00000116649.10,1352,1305,1562,1425,1000,888,1032,950
ENSG00000171824.14,1098,1210,1488,1229,428,374,403,461
ENSG00000226849.1,3,1,5,3,1,0,1,1
ENSG00000230337.2,5,8,8,3,0,2,0,1
ENSG00000198793.13,2051,2306,2792,2410,924,842,882,1009
ENSG00000225602.5,2,0,1,0,0,0,0,1
ENSG00000171819.5,0,1,0,0,0,1,1,0
ENSG00000238173.1,0,0,1,1,0,0,1,0
ENSG00000120942.14,410,499,532,489,291,213,248,276
ENSG00000238199.1,1,1,1,1,1,0,4,1
ENSG00000224338.2,0,0,0,0,2,6,9,4
ENSG00000204624.8,0,1,0,0,0,0,0,0
ENSG00000284708.1,0,0,0,0,2,2,2,0
ENSG00000116661.11,1,2,0,1,2,2,5,1
ENSG00000132879.14,284,263,328,279,208,175,185,204
ENSG00000116663.11,80,80,95,95,65,66,56,90
ENSG00000116670.15,418,456,608,480,593,456,600,578
ENSG00000162490.7,10,14,22,10,70,72,87,116
ENSG00000177674.16,462,374,467,369,174,187,194,222
ENSG00000215910.8,0,1,0,0,1,1,1,0
ENSG00000177000.13,657,751,886,723,225,206,229,270
ENSG00000011021.23,585,593,733,603,455,409,472,534
ENSG00000175206.11,1,0,1,0,0,1,0,1
ENSG00000224904.1,0,0,0,1,1,0,1,0
ENSG00000285646.2,0,1,2,3,2,0,4,2
ENSG00000201801.1,0,0,0,0,0,0,0,0
ENSG00000116685.16,1073,1048,1291,1006,815,745,876,853
ENSG00000083444.17,3591,3720,4518,3612,2164,2083,2042,2117
ENSG00000287384.1,0,1,0,0,0,0,1,0
ENSG00000116688.18,2585,2745,3422,2820,1363,1362,1386,1427
ENSG00000270914.1,0,0,0,0,1,0,1,1
ENSG00000116691.11,353,367,402,330,175,151,176,164
ENSG00000202461.1,4,2,3,4,0,0,0,0
ENSG00000243539.3,0,0,0,0,0,0,0,1
ENSG00000120949.15,2,1,5,3,4,0,2,3
ENSG00000201135.1,0,0,0,0,2,1,4,4
ENSG00000227875.2,0,0,1,0,0,0,0,0
ENSG00000285604.1,0,0,0,0,1,0,0,0
ENSG00000028137.19,7056,7382,8378,7669,4825,4564,4565,5290
ENSG00000263676.1,0,0,0,0,0,0,0,0
ENSG00000225196.2,0,0,0,0,0,1,1,1
ENSG00000048707.15,1087,1366,1587,1405,235,202,219,250
ENSG00000239149.1,0,1,0,0,0,0,0,0
ENSG00000229484.2,13,15,20,16,1,0,5,1
ENSG00000162496.9,881,981,1096,866,271,179,269,279
ENSG00000221340.1,3,2,1,1,0,1,0,1
ENSG00000276830.1,0,0,1,0,0,0,0,0
ENSG00000288927.1,51,46,57,45,14,14,12,20
ENSG00000272482.1,0,5,1,2,0,0,1,2
ENSG00000204518.3,1,0,0,0,0,1,0,0
ENSG00000188984.12,0,0,0,0,0,0,1,0
ENSG00000157330.10,0,0,0,0,3,4,5,4
ENSG00000116726.5,0,0,0,0,0,0,1,0
ENSG00000116721.9,0,0,0,0,0,0,1,0
ENSG00000231103.2,0,0,0,0,1,1,4,1
ENSG00000179172.10,17,18,20,13,17,14,14,16
ENSG00000243073.4,0,0,0,0,0,0,1,0
ENSG00000277058.3,1,1,0,1,0,1,0,1
ENSG00000275774.3,1,1,0,2,1,3,2,0
ENSG00000204505.5,0,0,0,0,2,6,0,1
ENSG00000279169.3,0,0,0,0,0,0,0,0
ENSG00000279804.2,0,0,0,0,0,0,1,0
ENSG00000250894.1,0,0,0,0,0,0,1,0
ENSG00000204501.7,0,0,0,0,0,0,1,0
ENSG00000204481.8,0,0,0,0,0,0,1,0
ENSG00000204480.8,0,0,0,0,0,0,1,0
ENSG00000204479.4,0,0,0,0,3,2,2,1
ENSG00000204478.10,0,0,0,0,0,0,1,0
ENSG00000162494.6,1,1,2,3,1,2,0,2
ENSG00000215909.3,1,0,0,0,0,0,4,2
ENSG00000162493.17,351,379,417,322,104,89,96,128
ENSG00000237445.2,0,2,1,0,0,0,1,0
ENSG00000116731.23,928,1001,1184,1002,355,348,342,431
ENSG00000289380.1,2,3,1,0,6,5,9,5
ENSG00000189337.17,54,49,46,52,15,18,24,23
ENSG00000231606.2,0,0,0,0,0,1,0,1
ENSG00000234593.3,0,0,0,0,0,0,2,0
ENSG00000235829.1,0,1,0,0,0,0,2,0
ENSG00000287756.1,0,0,0,0,1,4,3,3
ENSG00000175147.13,54,64,86,54,11,13,11,11
ENSG00000171729.14,867,944,989,918,472,403,457,460
ENSG00000204464.7,2,5,9,4,1,0,1,0
ENSG00000215720.4,2,1,3,3,2,0,1,1
ENSG00000278480.1,11,5,6,8,5,2,1,2
ENSG00000142621.21,24,20,33,16,8,9,13,12
ENSG00000233485.1,0,0,0,0,7,2,3,4
ENSG00000228140.2,2,4,4,2,2,2,4,2
ENSG00000142634.13,3891,3667,4533,3941,1343,1337,1488,1434
ENSG00000162438.12,1,1,1,1,4,2,2,7
ENSG00000142615.8,0,0,0,0,0,0,3,1
ENSG00000215704.10,0,1,0,1,0,0,1,1
ENSG00000132906.18,268,301,314,242,56,63,69,78
ENSG00000116138.13,492,615,693,646,74,84,80,88
ENSG00000116771.6,63,68,88,76,16,13,23,15
ENSG00000237301.1,2,3,3,3,2,2,1,4
ENSG00000235084.3,16,8,9,4,5,5,1,5
ENSG00000236500.1,0,0,0,0,0,0,1,0
ENSG00000197312.12,733,861,1003,1026,270,224,248,301
ENSG00000215695.2,0,0,1,1,2,1,1,0
ENSG00000271742.1,0,1,0,0,0,0,0,1
ENSG00000116786.13,3137,3011,3848,3138,3670,3023,3354,3691
ENSG00000237938.5,14,20,17,13,16,8,15,16
ENSG00000162461.8,21,16,22,15,4,5,11,8
ENSG00000162460.7,0,0,0,0,0,0,0,0
ENSG00000162458.13,75,77,102,89,121,121,128,146
ENSG00000224321.1,2,2,1,2,7,11,2,8
ENSG00000233954.6,89,69,80,73,54,37,46,36
ENSG00000178715.8,10,15,18,14,7,11,17,4
ENSG00000179743.4,40,51,50,34,19,18,26,25
ENSG00000065526.12,2368,2576,2992,2824,1303,1038,1176,1374
ENSG00000270620.1,0,0,0,0,0,0,0,0
ENSG00000116809.12,569,549,648,614,469,454,479,546
ENSG00000234607.2,1,0,0,0,0,0,0,0
ENSG00000275503.1,0,0,0,0,0,0,1,0
ENSG00000183888.4,0,0,0,0,2,1,1,1
ENSG00000173641.18,93,119,125,109,293,248,274,360
ENSG00000186510.12,15,9,10,13,1,1,1,2
ENSG00000184908.20,0,0,2,1,3,1,2,1
ENSG00000185519.9,0,0,0,0,0,0,1,2
ENSG00000142627.13,1,7,4,2,31,17,30,35
ENSG00000227959.2,0,1,0,0,0,1,7,2
ENSG00000224621.1,0,0,0,0,0,0,1,0
ENSG00000142632.17,78,92,108,87,25,17,28,21
ENSG00000237276.9,3,6,8,1,3,0,0,0
ENSG00000288398.1,74,59,74,70,12,12,17,8
ENSG00000132881.12,29,30,46,37,3,8,7,8
