rank,motif_ID,motif_alt_ID,adj_p-value,cnt
240,MA1869.1,MA1869.1.ZNF324,0.00573,0
241,MA0697.2,MA0697.2.Zic3,0.00576,0
242,MA2023.1,MA2023.1.ZNF211,0.00591,3
243,MA0095.3,MA0095.3.Yy1,0.00601,2
244,MA0604.1,MA0604.1.Atf1,0.00662,2
245,MA0809.2,MA0809.2.TEAD4,0.00679,0
246,MA1155.1,MA1155.1.ZSCAN4,0.00691,0
247,MA1116.1,MA1116.1.RBPJ,0.00753,1
248,MA0152.2,MA0152.2.Nfatc2,0.00798,3
249,MA0031.1,MA0031.1.FOXD1,0.00825,0
250,MA0004.1,MA0004.1.Arnt,0.00848,3
251,MA0695.1,MA0695.1.ZBTB7C,0.0098,0
252,MA2034.1,MA2034.1.Bcl11B,0.0108,0
253,MA0782.2,MA0782.2.PKNOX1,0.011,3
254,MA0679.2,MA0679.2.ONECUT1,0.0111,1
