MFL,MFN,MFPA
RPS4XP6,STXBP2,EIF3H
DIP2B,NEK11,ERCC1
SRC,MCEMP1,KLC3
RPL7AP14,CD209,LINC01609
CTNNBL1,NUDT16L2P,PKD1L2
KYNU,NUDT16,RNU6-628P
NOC2LP2,YEATS4,ARLNC1
POTEKP,EVI5L,H4C5
TOMM40P4,MRPL3,CHST5
RAB3GAP1,CPSF6,NDUFB9
CXCR4,NUP107,PLK3
HNRNPKP2,CD46,H1-2
UBBP1,LEMD3,H4C3
THSD7B,CR1,KARS1
RRN3P4,MARS1,BSPH1
ARHGAP15-AS1,CTDSP2,CRX
POTEI,CDK4,RNF139
GTDC1,DZIP1L,NOP53
ZEB2,AGAP2,EHD2
HS6ST3,DTX3,ADAMTS18
GPR180,PIP4K2C,H1-4
RBM43,DBR1,H2BC5
NMI,PPAN,H2BC8
TNFAIP6,P2RY11,FBXO32
RN7SL124P,DNMT1,H2AC8
SLITRK5,S1PR2,MEIS3
POTEE,ARHGAP9,PPIAP35
POTEF,RYK,CCDC9
RGPD6,GLI1,MRPS17P1
LIG4,INHBE,FER1L6
RNA5SP39,ARMC8,H4C8
HSCB,R3HDM2,WWOX-AS1
CHEK2,STAC3,MAF
TNFSF13B,SHMT2,LINC01229
TTC28,PDE4A,MAFTRR
PITPNB,LRP1,LINC01227
IL1A,STAT6,H2BC12
IL1B,NAB2,RPL10P2
ABHD13,KRI1,ECRG4
IL1RN,PIN1,IZUMO2
RPL15P18,ATP23,RN7SL326P
CBWD2,GIHCG,NFIB
ASPHD2,LRIG3,TMED9
ACTR3,ANAPC13,RN7SL849P
LINC01191,CEP63,MPDZ
KIAA1671,KICS2,LINC01235
LIMS2,YOD1,CNGB1
UPB1,PFKFB2,KIFC3
ADORA2A-AS1,EPHB1,FOXJ3
ADORA2A,RXYLT1,UIMC1
NR4A2,PCCB,FREM1
TANK,STAG1,RETREG2
IFIH1,PPM1H,ZFAND2B
SPATS2L,ZNF266,ADGRG1
RAB1AP1,SLC35G2,CLCN3P1
STAT4,ZNF426,POLR2C
MYO1B,SLC16A7,ERVV-2
NABP1,ZNF121,ZNF702P
LSS,ZNF561,NDRG4
C2orf66,ZNF561-AS1,CCDC30
PGAP1,ZNF562,VPS72
SATB2,FCMR,RNU6-536P
TYW5,EIF2D,PABPN1P2
CFLAR,ZNF846,PROP1
GCA,NCK1-DT,FAM153CP
CFLAR-AS1,FBXL12,N4BP3
RPL38P5,RPL6,CFAP65
CASP10,CTDP1,ZNF578
CASP8,NFATC1,PTPRD
BMPR2,ZNF669,SVBP
MYH11,SMIM4,RNU4-58P
ICOSLG,ROCK1,LINC00608
PWP2,PBRM1,APOOP5
NRP2,RNU6-856P,YWHAQP5
LGMNP1,ESCO1,CX3CL1
STAT1,SNRPD1,CA14
GLS,ABHD3,RPS9
COL5A2,SUPT20H,LINC01241
GALNT3,EXOSC8,GNAO1
STK39,ZNF124,GNAO1-DT
PTCHD3P2,RNU6ATAC16P,FAM153B
SSB,RFXAP,TMC4
EMP2,STAB1,TSEN34
TBX1,ZNF670,DNAJB2
LINC01960,GLT8D1,RPL23AP91
DHX9P1,SPCS1,CES1
HOXD8,NEK4,ARL2BPP6
NFE2L2,RBBP8,SLC6A2
SOCS1,SPART,LINC01411
LITAF,ZNF695,NSG2
CHROMR,CABLES1,CITED4
PRKRA,TMEM241,HIGD2A
USP18,AHCTF1,VSTM1
SNN,NBEA,MIR554
ACOD1,NT5DC2,CACNG8
BID,NISCH,PRKCG
BCL2L13,VWA8,LINC01239
RPL5P9,SLC25A15,SNCB
COL4A1,CEP76,SLC24A2
ABCC1,NAA16,RPS6
COMMD1,MTRF1,PLIN2
REL,KBTBD7,DPPA2P4
CACNA1I,KBTBD6,SLC12A3
REC8,DUSP7,HERPUD1
NONOP2,POC1A,SAXO1
RPS12P3,CEP192,SELENBP1
IRF9,LDLRAD4,BNC2
RNA5SP383,SUGT1P3,HMGN2P16
RNF31,TPTE2P5,GLDC
SNORD83A,ALAS1,UHRF2
APOBEC3G,TNNC1,GRM6
MRTFA,TWF2,ARHGAP39
APOBEC3F,TRIM58,LINC01102
PSME2,PPM1M,KLK3
APOBEC3A,ZNF519,KLKP1
CBX6,WDR82,CDYL
EHBP1,COG6,MAF1
GTPBP1,NHLRC3,HSF1
VPS54,PROSER1,LINC02533
PELI1,DNAH1,CANX
LGALSL,PHF7,RPL8
BCL11A,SEMA3G,RPL31
VRK2,RFC3,TMBIM1
RGPD5,STARD13,NPAS2-AS1
DESI1,SCCPDH,VIL1
EIF2AK2,LNX2,LRRC36
ARL14EPP1,SPATA12,PANTR1
PRKD3,DSC2,MAFA
CYP1B1,SLC46A3,KARS1P3
RPLP0P6,MAP1LC3C,LY6K
RPS12P4,APPL1,SHANK1
LINC01914,PAN3-AS1,CDH3
ZFP36L2,FLT3,FHL2
PRKCE,EXO1,LRRC4B
KHNYN,PDE12,CDH1
CCDC85A,DENND6A,ARC
RPL7P13,SLMAP,RNU6-898P
MTCO1P42,MTIF3,MYBPC2
ZC3H7B,TTC39C,HULC
CBLN3,TRAPPC8,RPS2P45
RABGGTA,FH,ADGRB1
TGM1,RNF125,NR1H2
TINF2,ABHD6,VPS4A
GPR75,RPP14,KCTD19
PNPT1,PXK,CYCSP51
PSME1,PDHB,FOXQ1
AFTPH-DT,KCTD6,CDC37L1
ZFHX2,ACOX2,PPP2R1A
ATP5F1BP1,CDK8,CDH8-AS1
ADRA2B,RNF6,MGAT4B
ASTL,SLC7A1,SQSTM1
DUSP2,CEP170,SLC2A1
NEURL3,SDCCAG8,CDH11
ARID5A,ARHGEF3,SLC2A1-AS1
LIMK2,PDS5B,CDH5
ZNF200,OSBPL1A,MGAT1
C2orf92,SFMBT1,BTNL8
TMEM131,IMPACT,HMGN2P31
MEFV,RFT1,CFAP57
MICALL1,B3GLCT,INSL6
RNF149,SMYD3,HNRNPA1P41
MAP4K4,KIF26B,LINC01104
IL1R2,ZNF521,KANK1
IL1R1,EFCAB2,TIE1
IL18R1,SS18,LINC01962
IL18RAP,HNRNPU,CDH16
SULT1C2P1,PRKCD,RRAD
EWSR1,DESI2,CIAO2B
COL4A2,CHDH,CARM1P1
IL32,ALOX5AP,RACK1
MMP25,KCTD1,TRIM52-AS1
RGPD2,CATSPERE,RN7SL543P
RGPD1,HMGB1,VLDLR-AS1
PPIAP64,ACTR8,DMRT1
PLEK,KATNAL1,RN7SKP38
ARHGAP25,CCDC66,IRF4
TGFA,TASOR,MED8
SLC7A7,PSMG2,ERP44
NAGK,ABHD14A,SEC14L5
CYP26B1,PTPRG,LINC00261
RPL4P1,GNAI2,ZEB1
APOL1,IAH1,LINC00837
APOL2,CPSF3,F11R
HK2-DT,RNASEH2B-AS1,BIRC7
EVA1A,METTL4,NKAIN4
APOL3,NDC80,LINC02664
APOL6,RNA5SP28,ZEB1-AS1
RPL37P10,DLEU7,NECTIN4
