gene_id,MFL01,MFL02,MFL03,MFL04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000285629.1,0,0,0,1,0,0,0,0
ENSG00000116251.11,1325,1363,1073,1112,833,836,831,964
ENSG00000226944.1,1,0,0,1,0,1,0,0
ENSG00000158286.13,6,8,6,7,3,0,3,2
ENSG00000116237.16,1346,1308,1144,1247,787,699,679,778
ENSG00000225077.3,4,4,1,1,4,6,7,2
ENSG00000173673.8,0,0,0,0,0,0,0,0
ENSG00000158292.7,51,50,44,51,31,22,27,21
ENSG00000097021.20,239,196,193,208,120,107,122,118
ENSG00000271746.1,0,0,0,2,0,0,1,0
ENSG00000069812.11,4,3,0,0,2,1,2,4
ENSG00000187017.18,3,6,1,8,1,2,4,3
ENSG00000231868.1,1,0,0,0,0,3,1,2
ENSG00000215788.11,4,1,2,2,2,5,1,5
ENSG00000171680.23,1,2,0,1,0,1,2,0
ENSG00000162408.11,504,484,407,435,90,98,94,141
ENSG00000253022.1,0,0,1,0,3,4,10,4
ENSG00000229519.2,5,3,3,0,1,0,1,1
ENSG00000173662.21,0,0,0,0,0,0,2,0
ENSG00000204859.13,659,649,463,569,139,108,132,128
ENSG00000162413.17,500,471,336,479,2237,2136,2172,2532
ENSG00000116273.6,233,233,167,216,231,195,231,262
ENSG00000041988.16,388,393,280,312,188,175,214,232
ENSG00000007923.17,981,926,735,884,129,132,120,136
ENSG00000228750.7,0,0,0,0,3,5,4,1
ENSG00000284744.1,0,0,0,0,4,7,8,3
ENSG00000237436.1,1,0,0,0,0,0,1,0
ENSG00000171735.19,312,275,268,288,202,206,214,219
ENSG00000227950.1,1,0,1,0,2,1,2,3
ENSG00000207056.1,0,0,0,0,0,1,2,3
ENSG00000237402.1,1,0,0,0,0,0,3,0
ENSG00000270171.1,1,0,0,2,0,0,1,0
ENSG00000270035.1,0,0,0,1,0,0,0,0
ENSG00000269978.1,1,2,2,1,1,0,0,1
ENSG00000049245.13,1219,1108,953,1033,487,428,472,581
ENSG00000269925.1,6,8,3,9,3,3,3,6
ENSG00000049246.15,30,29,16,32,12,13,13,13
ENSG00000236266.1,1,1,0,0,0,0,0,0
ENSG00000049247.14,231,241,181,178,133,137,155,170
ENSG00000049249.9,5529,6413,4039,5299,124,137,114,127
ENSG00000270330.1,0,1,0,0,0,0,0,0
ENSG00000116288.13,2950,3037,2325,2601,1076,1075,1114,1158
ENSG00000200344.1,0,1,1,1,1,0,0,1
ENSG00000284747.1,14,10,11,8,5,3,1,2
ENSG00000284716.1,0,0,0,0,3,8,8,5
ENSG00000116285.13,25,36,31,34,57,66,62,80
ENSG00000238290.1,0,0,0,0,5,0,10,2
ENSG00000232848.1,6,2,4,1,3,2,0,1
